Feature,SpearmanR,P-value
562,0.017077116055305996,0.5804394143773199
573,0.08388557237945474,0.006532925049291507
729,-0.03285487944661101,0.2874923492876492
817,-0.012712066732531793,0.6807469828905679
818,0.02098547216553468,0.49696563341440303
820,-0.027827103839507813,0.3676938080438854
821,-0.001368221254417052,0.9646791035113034
823,-0.1286783273652423,2.88847464821274e-05
851,0.06534850733678056,0.03423653070258536
853,0.03656258125018927,0.2365129755663428
876,0.0022772691008463852,0.9412457945115847
901,-0.04985022668020528,0.10643816095820244
905,0.05306253940338642,0.08568986335469414
907,0.08944039991723447,0.003724930114244141
1245,-0.05020162743265285,0.10399089011343614
1264,-0.024116814061381903,0.43500437771934564
1302,0.06860043966819071,0.02622392155989199
1304,0.0707897511509876,0.021790717674550503
1305,-0.09770393868405003,0.0015255182578317386
1308,0.017817756994146904,0.5641290358290705
1309,0.02888447993143301,0.3497654376239675
1318,0.12232358145319591,7.06910220959321e-05
1328,0.04287067161484318,0.16509074518631872
1343,0.06326840025471951,0.040389584891382134
1351,-0.08262117877914402,0.007392535547089759
1352,-0.05412591024843724,0.07958896077324724
1358,0.020383916103689597,0.5093846437139382
1382,-0.0015110338448350137,0.9609951641970595
1502,0.037863575750348995,0.22023696437056195
1512,0.03345931360556861,0.2787118742595457
1522,-0.057874203025358506,0.0608372861632875
1531,-0.018153537865600828,0.5568077898590342
1535,-0.0524417854795401,0.08942234342814015
1547,-0.05025751505563864,0.10360581779660008
1582,-0.0929047546342647,0.0025834530844656657
1584,-0.025015822185262104,0.41807440760996106
1596,0.14084684891533175,4.61919564729522e-06
1660,-0.016294262709559346,0.597915454590879
1680,-0.10272968056888782,0.0008570507786682672
1681,-0.079381719618359,0.010074565853777001
1686,-0.1829174832467013,2.3640247206373085e-09
1689,0.03959508968356275,0.19984193192919641
1735,-0.06375455392802686,0.03887340038837253
1736,-0.04058245900283904,0.18884723789738425
1744,0.006351999516226095,0.837114927699907
2173,-0.12912947319593687,2.706273723465023e-05
2317,-0.12036780906354211,9.231881563691073e-05
28025,0.06244932217012242,0.04305728264683514
28026,-0.01005609586528459,0.7448217193763829
28037,0.09999991453431475,0.0011759757718336542
28111,-0.025389379239118576,0.41115518841555143
28116,-0.023011648477467363,0.4563484466776968
28117,-0.020601444628020153,0.5048751579413082
28118,-0.06405775932997636,0.0379524470528491
28123,0.11229658614516669,0.000266323894574032
29361,-0.00334399638725296,0.9138139606184295
29391,0.04871692693845239,0.1146425137632628
29466,-0.011341808120779617,0.7135514129415415
33033,0.07386411691808287,0.01667071606131512
33035,-0.059795820402068454,0.05274148969490923
33038,0.13860505645923998,6.552127673744838e-06
33039,-0.10137295139141111,0.0010039286692332008
35833,0.025908946376765617,0.40164520271980275
39483,-0.06563977372812153,0.033442345912469085
39485,-0.20120793287129907,4.719766830565991e-11
39486,-0.08354316566585121,0.006756374247173822
39488,-0.16417371327041694,8.803264952309278e-08
39490,-0.019324797910965,0.531637993255101
39491,-0.0637383620998811,0.0389231099785351
39492,-0.08502007934774145,0.005839209594782029
39496,-0.05324588380788572,0.08461182455664429
39777,0.037189952705241766,0.22856124178749235
39778,0.0945334501295948,0.002166137226294441
40518,-0.0021454808135383126,0.9446403495177065
40519,-0.04204470886391631,0.1733925314879598
40520,-0.17974730320835888,4.4811876993135294e-09
40545,0.04190038880100787,0.17487452709469153
43675,0.0793852909250573,0.010071185494219623
45851,-0.03219496974786335,0.29728938662426974
46124,0.047760246284442365,0.12194812253396922
46228,-0.009904995295466838,0.7485255948632907
46503,0.14374611452063688,2.9157673713754956e-06
46506,0.06836905626941113,0.02673506503102972
47678,0.06691137798369208,0.030156869879260573
52226,-0.007302527736043558,0.8131609057241933
53345,0.009045804853650509,0.7696945761937303
53443,0.0994144529856937,0.0012572963599250012
61171,0.016512099869935643,0.5930286385089518
68892,0.04525939143034169,0.14276381751735748
74426,-0.10219285726180806,0.0009126097513665757
84112,-0.052877937500943745,0.08678646790458053
84135,0.0488263669034001,0.11382918269931071
88431,-0.02356241514035488,0.44563877392723417
100886,-0.04444253496799203,0.15012263143100618
102148,0.019505557409759684,0.527805485935719
106588,0.049617267964576675,0.10808553861821833
113107,-0.013756868818952977,0.6561292740001843
116085,0.049910366705902105,0.1060161223039959
154046,-0.034019320304496004,0.27074100247272986
154288,0.07182259556082665,0.019935884344380282
165179,0.12459268989357633,5.1604390989747214e-05
166486,0.043377631168010924,0.16014537694638487
169435,-0.025264237512872868,0.413465532325319
187327,0.06134986517882479,0.04687064310099895
204516,-0.08130666026756518,0.008392341705483239
208479,-0.0065580976188873985,0.8319074681506221
214856,-0.06492900269675007,0.035408628454414615
216816,-0.04649619382998382,0.13215226366471605
218538,-0.006922394411248948,0.8227209523840617
239935,0.06135958413350981,0.04683572971629031
246787,-0.05353136181065646,0.08295509213014471
261299,-0.016414078492877248,0.5952253246106387
291644,-0.04018004688016841,0.19327322023353458
291645,-0.020379010993426643,0.5094865716081212
292800,0.021024277867670346,0.496170065930008
301301,-0.12642645989660414,3.985808486601645e-05
310297,-0.021187277373577312,0.4928357866980376
310298,0.162827014213077,1.1245264607364984e-07
322095,0.03961003643076563,0.19967208706045475
328812,-0.09025125598689052,0.0034228579507730463
328813,-0.020319672099009825,0.510720474517126
328814,-0.08668076366435618,0.004943019582365333
329854,-0.04084300446820565,0.18602167333322184
333367,-0.12279894096437456,6.621028466153667e-05
338188,-0.0005552353622190756,0.9856625842287108
341694,0.04179464416778731,0.1759663771721579
357276,0.08622795180545438,0.0051741674651560165
358743,-0.007739290271560354,0.8022109848326694
360807,0.054537395166201375,0.07732485399693227
363265,0.030642529779168082,0.32120646161195704
371601,0.031433993660992164,0.3088604706852456
387090,0.05991064592097741,0.052287651538687634
387661,0.06914312459750056,0.025058066652668777
410072,-0.031236903292151525,0.3119051794446154
411489,-0.07230749270255196,0.01911362003534924
446660,-0.08028984178448037,0.009246797336775194
454154,0.008869370847835397,0.7740634862079728
454155,0.047556673712325685,0.12354860196611205
457412,-0.058492003200064265,0.058129205373918136
457421,-0.10750500883531437,0.000483873513664936
457422,-0.02392449232989967,0.43867679267604487
469610,0.027309348546953976,0.3766773994200815
469614,-0.024168468179751226,0.4340210612268114
471189,-0.03910278878525403,0.2054951335775224
487173,-0.003896371656844086,0.8996472563206341
487174,-0.0556492599809861,0.07146817264190267
487175,0.02566954031941561,0.40601073169578117
552398,0.012397747164284935,0.6882214746293885
626929,0.05378827223768585,0.08148667988808002
626932,-0.17733454215764372,7.235581715104198e-09
626935,-0.0068670902849975535,0.8241140349390372
626940,0.08009744849097478,0.009416926002000744
649756,-0.1445562552567459,2.5598649911349933e-06
658081,-0.029301207375861178,0.3428544365140538
658082,-0.020568279448592984,0.5055613302926442
658085,0.004681463709721781,0.879567979032881
658086,-0.028027202639884393,0.364257887821125
658087,0.09335266419519869,0.0024619169284316135
658089,-0.19591902777013065,1.5226133819454994e-10
658655,0.038488980741481556,0.2127050317333016
658657,-0.045461016839633314,0.14099069590638416
665950,-0.02490839375782386,0.42007685967672503
665951,0.010685948887703732,0.7294466168624942
674529,0.09002738332059453,0.003503951248127103
751585,-0.06654765016345371,0.03106709064887821
1070699,-0.006063890253146366,0.8444064657695132
1099853,0.05969054949550388,0.05316044817865147
1118060,-0.06021906313611382,0.051084776106510944
1118061,-0.06977449007693315,0.023758336511294807
1161942,-0.15392299458447575,5.397132484287916e-07
1288121,-0.11244161506691949,0.0002614574524416586
